"id","category_id","name","price","description","image_path","is_available","sort_order","created_at","updated_at"
28,4,"Blackberry Vodka","32.00","Vodka, blackberry puree, mint leaves, lime juice, simple syrup.","/drinks/alcoholic/blackberry-mint-vodka-scaled.jpg",True,1,"2026-05-04 06:00:57.602677","2026-05-04 06:00:57.602677"
29,4,"Carnberry Vodka","25.00","Vodka, cranberry juice, lime juice, simple syrup.","/drinks/alcoholic/carnberry coktail.jpeg",True,2,"2026-05-04 06:00:57.602677","2026-05-04 06:00:57.602677"
30,4,"Long Mint","23.00","Mint leaves, vodka, lime juice, simple syrup, club soda.","/drinks/alcoholic/long mint.png",True,3,"2026-05-04 06:00:57.602677","2026-05-04 06:00:57.602677"
31,4,"Strawberry Mojito","30.00","Rum, strawberries, mint leaves, lime juice, sugar, club soda.","/drinks/alcoholic/Cold-Strawberry-Mojito-683x1024.jpg",True,4,"2026-05-04 06:00:57.602677","2026-05-04 06:00:57.602677"
32,4,"Peach-Rum","24.00","Rum, peach schnapps, orange juice, grenadine.","/drinks/alcoholic/Article-Best-Cocktail-Recipes-for-Day-Drinking-Spritz-Low-ABV-Recipes.webp",True,5,"2026-05-04 06:00:57.602677","2026-05-04 06:00:57.602677"
33,4,"Blue Ivy","25.00","Blue Curacao, vodka, lemonade, blue raspberry syrup.","/drinks/alcoholic/Electric-Shark-Cocktail-Recipe-4.jpg",True,6,"2026-05-04 06:00:57.602677","2026-05-04 06:00:57.602677"
34,4,"Purple Rain","30.00","Vodka, blue curacao, cranberry juice, sweet and sour mix.","/drinks/alcoholic/Purple-rain-90edf70.jpg",True,7,"2026-05-04 06:00:57.602677","2026-05-04 06:00:57.602677"
35,4,"Casa Migos Lick","36.00","Tequila, lime juice, cucumber, jalapeno, agave syrup.","/drinks/alcoholic/casamigas-spicy-cucumber-margarita-hero.jpg",True,8,"2026-05-04 06:00:57.602677","2026-05-04 06:00:57.602677"
